date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:53	63418/63418	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20May%202022%2019:02:52%20GMT	https://sites.google.com/view/hi-gang	sites.google.com/view/hi-gang.html	(from )
22:02:54	67/67	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2006%20May%202022%2019:02:53%20GMT	https://sites.google.com/robots.txt		(from )
22:02:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20May%202022%2019:02:54%20GMT	http://schema.org/WebPage	schema.org/WebPage.1.delayed	(from https://sites.google.com/view/hi-gang)
22:02:56	208519/208519	---M-Z	200	added ('OK')	text/html	etag:%22cgLTzg%22	https://schema.org/WebPage	schema.org/WebPage.html	(from https://sites.google.com/view/hi-gang)
22:02:57	127754/127754	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh4.googleusercontent.com/UaIyCZ_oyXR1EbhqLJ0OzsM4wDYunXvIyaYRQ41fZWJALh09Y67j7ZzW3-F4vH29jV1rlCKLucHPpJfLJZWMwypw8ybBm67P04wqMcLpcxrHqrhL	lh4.googleusercontent.com/logo.png	(from https://sites.google.com/view/hi-gang)
22:02:58	1905/1905	---MC-	200	added ('OK')	text/css	date:Fri,%2006%20May%202022%2019:02:57%20GMT	https://fonts.googleapis.com/css?family=Google+Sans:400,500|Roboto:300,400,500,700|Source+Code+Pro:400,700&display=swap	fonts.googleapis.com/css9f00.css	(from https://sites.google.com/view/hi-gang)
22:02:59	466/466	---MC-	200	added ('OK')	text/css	date:Fri,%2006%20May%202022%2019:02:58%20GMT	https://fonts.googleapis.com/css?family=Lexend%20Giga%3Ai%2Cbi%2C700%2C400&display=swap	fonts.googleapis.com/cssf38a.css	(from https://sites.google.com/view/hi-gang)
22:03:00	403/403	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2006%20May%202022%2019:03:00%20GMT	https://accounts.google.com/o/oauth2/auth	accounts.google.com/o/oauth2/auth.7.delayed	(from https://sites.google.com/view/hi-gang)
22:03:00	669505/669505	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Apr%202022%2012:32:09%20GMT	https://www.gstatic.com/_/atari/_/ss/k=atari.vw.Ev8u5BDaFx0.L.X.O/d=1/rs=AGEqA5mb1ZXlhf0IbKYlJoN8fYDPCDJ5QA	www.gstatic.com/_/atari/_/ss/k=atari.vw.Ev8u5BDaFx0.L.X.O/d=1/rs=AGEqA5mb1ZXlhf0IbKYlJoN8fYDPCDJ5QA.css	(from https://sites.google.com/view/hi-gang)
22:03:00	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2006%20May%202022%2019:03:00%20GMT	https://docs.google.com/	docs.google.com/index.html	(from https://sites.google.com/view/hi-gang)
22:03:00	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2006%20May%202022%2019:03:00%20GMT	https://drive.google.com/	drive.google.com/index.html	(from https://sites.google.com/view/hi-gang)
22:03:02	341/341	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2006%20May%202022%2019:03:01%20GMT	https://sites.google.com/new/	sites.google.com/new/index.html	(from https://sites.google.com/view/hi-gang)
22:03:02	1855554/1855554	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20May%202022%2019:03:01%20GMT	https://accounts.google.com/signin/oauth/error?authError=Cg9pbnZhbGlkX3JlcXVlc3QSLFJlcXVpcmVkIHBhcmFtZXRlciBpcyBtaXNzaW5nOiByZXNwb25zZV90eXBlGjdodHRwczovL2RldmVsb3BlcnMuZ29vZ2xlLmNvbS9pZGVudGl0eS9wcm90b2NvbHMvb2F1dGgyIJAD	accounts.google.com/signin/oauth/error3900.html	(from https://sites.google.com/view/hi-gang)
22:03:03	564/564	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20May%202022%2019:03:02%20GMT	https://accounts.google.com/o/oauth2/postmessageRelay	accounts.google.com/o/oauth2/postmessageRelay.html	(from https://sites.google.com/view/hi-gang)
22:03:03	2183/2183	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2019:17:44%20GMT	https://www.gstatic.com/atari/embeds/7925c5f8e01bacb9b4b0a3783ae0b867/intermediate-frame-minified.html	www.gstatic.com/atari/embeds/7925c5f8e01bacb9b4b0a3783ae0b867/intermediate-frame-minified.html	(from https://sites.google.com/view/hi-gang)
22:03:04	349/349	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2006%20May%202022%2019:03:03%20GMT	https://sites.google.com/new/?usp	sites.google.com/new/index7558.html	(from https://sites.google.com/view/hi-gang)
22:03:05	283/283	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20May%202022%2019:03:04%20GMT	https://accounts.google.com/o/oauth2/iframe	accounts.google.com/o/oauth2/iframe.html	(from https://sites.google.com/view/hi-gang)
22:03:05	2021/2021	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20May%202022%2012:25:03%20GMT	https://122144096-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html	122144096-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html	(from https://sites.google.com/view/hi-gang)
22:03:07	14040/14040	---M--	200	added ('OK')	text/javascript	etag:%228d1fc96ea75efeac%22	https://apis.google.com/js/client.js?onload=gapiLoaded	apis.google.com/js/clientc932.js	(from https://sites.google.com/view/hi-gang)
22:03:07	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2006%20May%202022%2019:03:06%20GMT	https://domains.google.com/	domains.google.com/index.html	(from https://sites.google.com/view/hi-gang)
22:03:08	63442/63442	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20May%202022%2019:03:07%20GMT	https://sites.google.com/view/hi-gang/home	sites.google.com/view/hi-gang/home.html	(from https://sites.google.com/view/hi-gang)
22:03:09	117584/117584	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh5.googleusercontent.com/H-3MBE_iq_XM0oeQ1YxaRrfE3-gXY68JLHPrZuXfNzTKyoUSKAVzMm_dNsvM3dVLBVo_fa6YGmVUfZrJB57IVHM=w16383	lh5.googleusercontent.com/logo.png	(from https://sites.google.com/view/hi-gang)
22:03:10	420086/420086	---M--	200	added ('OK')	image/jpeg	etag:%22v1%22	https://lh6.googleusercontent.com/_MqU7NrR9yn2CWMG9EVI_EHi3x2Ah0Qvq8NOdHQ8RCyl88-Ska-M7SizWXMi7H4lrzNw3ajD-n0Dpq3izh574cs=w16383	lh6.googleusercontent.com/6PG-fPoExGUXB80-9dgUrcPMKr4iakgfL6Ryz97TFuIdt8DQlDWjNa1o31UMbCbDzDWmyIMJuNY=s0.jpg	(from https://sites.google.com/view/hi-gang)
22:03:10	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2006%20May%202022%2019:03:10%20GMT	https://sites.google.com/view/%22https://discord.com/widget?id=683726209171062888&theme=dark%22	sites.google.com/view/_https_/discord.com/widget.115fcf.delayed	(from https://sites.google.com/view/hi-gang)
22:03:12	102962/102962	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20May%202022%2019:03:11%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/view/%2522https://discord.com/widget?id%3D683726209171062888%26theme%3Ddark%2522&followup=https://sites.google.com/view/%2522https://discord.com/widget?id%3D683726209171062888%26theme%3Ddark%2522	accounts.google.com/ServiceLoginae3a.html	(from https://sites.google.com/view/hi-gang)
22:03:13	507524/507524	---M--	200	added ('OK')	text/javascript	date:Tue,%2026%20Apr%202022%2012:32:09%20GMT	https://www.gstatic.com/_/atari/_/js/k=atari.vw.en_US.WTi0ilItDDo.O/d=1/rs=AGEqA5l_5xzch2ThvLDloL5AmIIGUyE5pA/m=view	www.gstatic.com/_/atari/_/js/k=atari.vw.en_US.WTi0ilItDDo.O/d=1/rs=AGEqA5l_5xzch2ThvLDloL5AmIIGUyE5pA/m=view	(from https://sites.google.com/view/hi-gang)
22:03:14	110/110	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp1.z)')	text/plain	etag:%22cgLTzg%22	https://schema.org/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2006%20May%202022%2019:03:14%20GMT	https://lh4.googleusercontent.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:16	51/51	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp2.z)')	text/plain	date:Fri,%2006%20May%202022%2019:03:15%20GMT	https://fonts.googleapis.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:16	1024/1024	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp3.z)')	text/plain	date:Tue,%2029%20Mar%202022%2017:48:00%20GMT	https://www.gstatic.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:18	245/245	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp4.z)')	text/plain	date:Fri,%2006%20May%202022%2019:03:17%20GMT	https://drive.google.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:19	246/246	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp5.z)')	text/plain	date:Fri,%2006%20May%202022%2019:03:18%20GMT	https://docs.google.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:20	104/104	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp6.z)')	text/plain	date:Fri,%2006%20May%202022%2019:03:19%20GMT	https://accounts.google.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:20	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2006%20May%202022%2019:03:20%20GMT	https://122144096-atari-embeds.googleusercontent.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:22	166/166	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp7.z)')	text/plain	date:Fri,%2006%20May%202022%2019:03:21%20GMT	https://domains.google.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2006%20May%202022%2019:03:22%20GMT	https://lh5.googleusercontent.com/robots.txt		(from https://sites.google.com/view/hi-gang)
22:03:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2006%20May%202022%2019:03:23%20GMT	https://lh6.googleusercontent.com/robots.txt		(from https://sites.google.com/view/hi-gang)
